,LSTM,Data,Closing
0,"[29.99264974594116, 29.238111686706542, 28.68782444000244, 28.643357467651366, 28.783109855651855, 28.831988048553466, 28.660089206695556, 28.184339714050292, 27.320855808258056, 26.018016052246093, 25.447829735279083, 25.730007362365722, 25.924194288253783, 26.02569408416748, 26.031156969070434, 25.863114070892333, 25.51289005279541, 25.091930282115936, 24.742678534984588, 25.18467969894409, 25.646239709854125, 26.12254590988159, 26.608329010009765, 27.098208141326904, 27.591067504882812, 28.076498222351074, 28.550071907043456, 29.008701515197753, 29.44561071395874, 29.294069480895995, 29.046695899963378, 28.790125560760497, 28.53168840408325, 28.279222679138183, 28.021038007736205, 27.758109760284423, 27.496271324157714, 27.24335355758667, 26.988948774337768, 26.734013509750366, 26.479586791992187, 26.22670907974243, 25.976363372802734, 25.72948474884033, 25.64024872779846, 25.775490713119506, 25.911174964904784, 26.046153020858764, 26.18025631904602, 26.313330125808715]","[29.84, 29.45, 28.53, 28.36, 28.63, 29.08, 28.78, 27.64, 27.51, 26.1, 25.41, 25.79, 26.1, 25.83, 26.42, 26.53, 25.42, 25.19, 24.45, 25.33, 26.32, 26.31, 26.51, 27.0, 27.69, 27.79, 28.44, 29.12, 29.76, 29.94, 29.95, 27.77, 28.64, 28.6, 28.3, 27.99, 27.5, 26.995, 27.44, 27.19, 27.01, 26.97, 26.8, 25.37, 25.265, 25.83, 25.83, 26.26, 27.065, 27.18]",27.355
1,"[29.36192054748535, 28.434435081481933, 28.422267150878906, 28.701209259033202, 28.900684547424316, 28.6262375831604, 28.10352725982666, 27.279493045806884, 26.156615924835204, 25.77146167755127, 26.033505630493163, 26.216767263412475, 26.309590768814086, 26.301695775985717, 26.177640390396117, 25.888687801361083, 25.512973260879516, 25.07912082672119, 25.496791434288024, 25.954795551300048, 26.422255945205688, 26.896613311767577, 27.375286293029784, 27.86447114944458, 28.356082153320312, 28.84425802230835, 29.326697540283202, 29.801521968841552, 29.697194290161132, 29.42487688064575, 29.140513610839843, 28.864596557617187, 28.622409534454345, 28.380466890335082, 28.135134887695312, 27.887248706817626, 27.64116735458374, 27.395147037506103, 27.14852900505066, 26.90205783843994, 26.65646619796753, 26.412149024009704, 26.17035837173462, 25.967613887786865, 26.128447008132934, 26.33086473941803, 26.535803508758544, 26.741550159454345, 26.94762773513794, 27.14728970527649]","[29.45, 28.53, 28.36, 28.63, 29.08, 28.78, 27.64, 27.51, 26.1, 25.41, 25.79, 26.1, 25.83, 26.42, 26.53, 25.42, 25.19, 24.45, 25.33, 26.32, 26.31, 26.51, 27.0, 27.69, 27.79, 28.44, 29.12, 29.76, 29.94, 29.95, 27.77, 28.64, 28.6, 28.3, 27.99, 27.5, 26.995, 27.44, 27.19, 27.01, 26.97, 26.8, 25.37, 25.265, 25.83, 25.83, 26.26, 27.065, 27.18, 27.355]",27.615
2,"[28.50876302719116, 28.385739517211913, 28.732116413116454, 28.811969470977782, 28.55611581802368, 27.991825294494628, 27.121064376831054, 25.959608030319213, 25.38224024772644, 25.68036527633667, 25.887267065048217, 25.987612199783324, 25.96832866668701, 25.815468740463256, 25.468927216529845, 25.030422163009643, 24.77655131816864, 25.206059527397155, 25.651611042022704, 26.10993273258209, 26.577643823623657, 27.051396083831786, 27.538324069976806, 28.03344793319702, 28.52846164703369, 29.01709098815918, 29.496196937561034, 29.513704013824462, 29.239750576019286, 28.94869966506958, 28.698525142669677, 28.456306648254394, 28.203215551376342, 27.953588199615478, 27.71677942276001, 27.47104139328003, 27.216427278518676, 26.953050327301025, 26.681119394302367, 26.401006412506103, 26.112797451019286, 25.817673516273498, 25.552563619613647, 25.79747016429901, 26.072676849365234, 26.351972532272338, 26.63442678451538, 26.919096422195434, 27.20504159927368, 27.489341688156127]","[28.53, 28.36, 28.63, 29.08, 28.78, 27.64, 27.51, 26.1, 25.41, 25.79, 26.1, 25.83, 26.42, 26.53, 25.42, 25.19, 24.45, 25.33, 26.32, 26.31, 26.51, 27.0, 27.69, 27.79, 28.44, 29.12, 29.76, 29.94, 29.95, 27.77, 28.64, 28.6, 28.3, 27.99, 27.5, 26.995, 27.44, 27.19, 27.01, 26.97, 26.8, 25.37, 25.265, 25.83, 25.83, 26.26, 27.065, 27.18, 27.355, 27.615]",28.27
3,"[28.30466718673706, 28.834082794189452, 28.814095211029052, 28.51294536590576, 27.975887966156005, 27.173272323608398, 26.07563908100128, 25.478103828430175, 25.777603697776794, 26.008986783027648, 26.176274132728576, 26.28356177806854, 26.286286664009094, 25.863012981414794, 25.39195795059204, 25.030390334129333, 25.46201808452606, 25.907955718040466, 26.365138363838195, 26.8305193901062, 27.301160526275634, 27.781765174865722, 28.262142848968505, 28.742505264282226, 29.215155792236327, 29.673465919494628, 29.55771656036377, 29.252233695983886, 28.931369972229003, 28.68767566680908, 28.47597188949585, 28.255946350097656, 28.027706336975097, 27.791298580169677, 27.546806049346923, 27.29433889389038, 27.034057807922363, 26.766175937652587, 26.49098582267761, 26.208853197097778, 25.92023344039917, 25.631058168411254, 25.844959449768066, 26.114620757102966, 26.40277464389801, 26.699966144561767, 27.002941799163818, 27.31081886291504, 27.622792434692382, 27.93585844039917]","[28.36, 28.63, 29.08, 28.78, 27.64, 27.51, 26.1, 25.41, 25.79, 26.1, 25.83, 26.42, 26.53, 25.42, 25.19, 24.45, 25.33, 26.32, 26.31, 26.51, 27.0, 27.69, 27.79, 28.44, 29.12, 29.76, 29.94, 29.95, 27.77, 28.64, 28.6, 28.3, 27.99, 27.5, 26.995, 27.44, 27.19, 27.01, 26.97, 26.8, 25.37, 25.265, 25.83, 25.83, 26.26, 27.065, 27.18, 27.355, 27.615, 28.27]",28.05
4,"[28.76975507736206, 29.403834056854247, 28.93004102706909, 27.94334120750427, 27.055880975723266, 26.487052869796752, 26.19717342853546, 26.16778082847595, 26.188572359085082, 26.2010986328125, 26.1675772190094, 26.058063220977782, 25.807165098190307, 25.49307770729065, 25.11037219762802, 25.48309690952301, 25.945003938674926, 26.417532634735107, 26.89848108291626, 27.38549132347107, 27.876073551177978, 28.367659044265746, 28.85769910812378, 29.34376926422119, 29.813094329833984, 29.67074556350708, 29.362224769592284, 29.028622817993163, 28.846804809570312, 28.65766830444336, 28.459519577026366, 28.252382469177245, 28.036312055587768, 27.81140489578247, 27.577811431884765, 27.335747909545898, 27.085501384735107, 26.82745189666748, 26.56207103729248, 26.28992314338684, 26.011670303344726, 26.092180919647216, 26.376714062690734, 26.687295627593993, 27.00721926689148, 27.333460998535156, 27.66384024620056, 27.997815322875976, 28.155394744873046, 28.155496072769164]","[28.63, 29.08, 28.78, 27.64, 27.51, 26.1, 25.41, 25.79, 26.1, 25.83, 26.42, 26.53, 25.42, 25.19, 24.45, 25.33, 26.32, 26.31, 26.51, 27.0, 27.69, 27.79, 28.44, 29.12, 29.76, 29.94, 29.95, 27.77, 28.64, 28.6, 28.3, 27.99, 27.5, 26.995, 27.44, 27.19, 27.01, 26.97, 26.8, 25.37, 25.265, 25.83, 25.83, 26.26, 27.065, 27.18, 27.355, 27.615, 28.27, 28.05]",27.93
5,"[29.10803050994873, 28.81047649383545, 27.875268411636352, 26.837913465499877, 26.182519030570983, 25.92855257987976, 25.919282269477844, 26.00871546268463, 26.09700186252594, 26.120170426368713, 26.034884881973266, 25.73703224658966, 25.332052659988403, 24.874825072288512, 25.319083404541015, 25.767205786705016, 26.219832968711852, 26.677443933486938, 27.140149307250976, 27.607575845718383, 28.078809690475463, 28.568055820465087, 29.048151206970214, 29.512909126281738, 29.778307151794433, 29.329151344299316, 28.83665771484375, 28.635612201690673, 28.46138925552368, 28.276425075531005, 28.079973649978637, 27.871178579330444, 27.649110507965087, 27.412764739990234, 27.161102724075317, 26.893084955215453, 26.6077250957489, 26.30370659828186, 25.98081464767456, 25.649875473976135, 25.897747707366943, 26.199361157417297, 26.522076082229614, 26.848375511169433, 27.17699236869812, 27.506809186935424, 27.83673138618469, 28.090281438827514, 28.090880823135375, 28.091478061676025]","[29.08, 28.78, 27.64, 27.51, 26.1, 25.41, 25.79, 26.1, 25.83, 26.42, 26.53, 25.42, 25.19, 24.45, 25.33, 26.32, 26.31, 26.51, 27.0, 27.69, 27.79, 28.44, 29.12, 29.76, 29.94, 29.95, 27.77, 28.64, 28.6, 28.3, 27.99, 27.5, 26.995, 27.44, 27.19, 27.01, 26.97, 26.8, 25.37, 25.265, 25.83, 25.83, 26.26, 27.065, 27.18, 27.355, 27.615, 28.27, 28.05, 27.93]",28.22
6,"[28.737591457366943, 27.918770265579223, 26.97026629447937, 26.21323413848877, 25.819483470916747, 25.902877521514892, 26.0244252204895, 26.101051759719848, 26.08879096508026, 25.96530599594116, 25.667381358146667, 25.293642890453338, 24.898649048805236, 25.31713534593582, 25.7404714345932, 26.170313549041747, 26.60868878364563, 27.057608556747436, 27.51876254081726, 27.993413162231445, 28.492862892150878, 28.99795265197754, 29.508692932128906, 29.739475440979003, 29.24753828048706, 28.776889991760253, 28.592942428588866, 28.420602750778198, 28.248731088638305, 28.072732639312743, 27.890044164657592, 27.69787449836731, 27.49311180114746, 27.271967363357543, 27.03059573173523, 26.764992904663085, 26.47081513404846, 26.144501399993896, 25.783935499191283, 25.913905453681945, 26.213726353645324, 26.52948064804077, 26.855080080032348, 27.186454725265502, 27.516094160079955, 27.84977717399597, 28.045595598220824, 28.045831632614135, 28.046067905426025, 28.046304178237914]","[28.78, 27.64, 27.51, 26.1, 25.41, 25.79, 26.1, 25.83, 26.42, 26.53, 25.42, 25.19, 24.45, 25.33, 26.32, 26.31, 26.51, 27.0, 27.69, 27.79, 28.44, 29.12, 29.76, 29.94, 29.95, 27.77, 28.64, 28.6, 28.3, 27.99, 27.5, 26.995, 27.44, 27.19, 27.01, 26.97, 26.8, 25.37, 25.265, 25.83, 25.83, 26.26, 27.065, 27.18, 27.355, 27.615, 28.27, 28.05, 27.93, 28.22]",28.62
7,"[27.963705492019653, 27.0586688041687, 26.179259252548217, 25.776836943626403, 25.804155540466308, 25.990940046310424, 26.148534727096557, 26.18835563659668, 26.056531143188476, 25.675330352783202, 25.22787458896637, 24.830003988742828, 25.260508489608764, 25.691973519325256, 26.126386594772338, 26.56612844467163, 27.01339406967163, 27.469771814346313, 27.936477375030517, 28.43271894454956, 28.923177433013915, 29.40182943344116, 29.584153842926025, 29.152657222747802, 28.70270891189575, 28.506936740875243, 28.31384105682373, 28.116597127914428, 27.919200134277343, 27.714442443847656, 27.501209688186645, 27.276422452926635, 27.037533235549926, 26.781742286682128, 26.506028842926025, 26.20427997112274, 25.876403880119323, 25.57945508956909, 25.837189149856567, 26.138713908195495, 26.459771347045898, 26.788894367218017, 27.124461603164672, 27.464680862426757, 27.789828729629516, 27.994697761535644, 28.07966775894165, 28.16429967880249, 28.248557758331298, 28.332410287857055]","[27.64, 27.51, 26.1, 25.41, 25.79, 26.1, 25.83, 26.42, 26.53, 25.42, 25.19, 24.45, 25.33, 26.32, 26.31, 26.51, 27.0, 27.69, 27.79, 28.44, 29.12, 29.76, 29.94, 29.95, 27.77, 28.64, 28.6, 28.3, 27.99, 27.5, 26.995, 27.44, 27.19, 27.01, 26.97, 26.8, 25.37, 25.265, 25.83, 25.83, 26.26, 27.065, 27.18, 27.355, 27.615, 28.27, 28.05, 27.93, 28.22, 28.62]",28.26
8,"[27.610237789154052, 25.963202548027038, 25.700517964363097, 25.90565354824066, 26.059305024147033, 26.06784589290619, 25.95908589363098, 25.757855248451232, 25.540924143791198, 25.358913612365722, 25.248077940940856, 25.443064284324645, 25.70550055503845, 26.03359408378601, 26.422372889518737, 26.86307520866394, 27.338899087905883, 27.831377220153808, 28.347536516189574, 28.892203521728515, 29.424657535552978, 29.618145179748534, 29.127489280700683, 28.63009853363037, 28.45205373764038, 28.271815252304076, 28.082916688919067, 27.885306072235107, 27.677495908737182, 27.4577064037323, 27.223906469345092, 26.97408504486084, 26.70629448890686, 26.418706488609313, 26.10980541706085, 25.778156113624572, 25.52604169845581, 25.81047601699829, 26.110297632217407, 26.424241971969604, 26.744343709945678, 27.067693662643432, 27.392392587661742, 27.717282247543334, 28.031924200057983, 28.097019386291503, 28.143482637405395, 28.189521503448486, 28.23514289855957, 28.257418584823608]","[27.51, 26.1, 25.41, 25.79, 26.1, 25.83, 26.42, 26.53, 25.42, 25.19, 24.45, 25.33, 26.32, 26.31, 26.51, 27.0, 27.69, 27.79, 28.44, 29.12, 29.76, 29.94, 29.95, 27.77, 28.64, 28.6, 28.3, 27.99, 27.5, 26.995, 27.44, 27.19, 27.01, 26.97, 26.8, 25.37, 25.265, 25.83, 25.83, 26.26, 27.065, 27.18, 27.355, 27.615, 28.27, 28.05, 27.93, 28.22, 28.62, 28.26]",28.29
9,"[25.583697271347045, 25.825250458717345, 25.997800421714782, 26.0727411031723, 26.0310706615448, 25.88227231502533, 25.663647246360778, 25.42474706172943, 25.212034356594085, 25.076680135726928, 25.315424513816833, 25.636254143714904, 26.030777525901794, 26.48593587875366, 26.98482747077942, 27.508592796325683, 28.038835716247558, 28.578291130065917, 29.09246082305908, 29.56837387084961, 29.61307210922241, 29.212524604797363, 28.7842866897583, 28.543524932861327, 28.33503885269165, 28.116707277297973, 27.889120292663574, 27.653864097595214, 27.411359977722167, 27.16212339401245, 26.906782817840575, 26.64609785079956, 26.380967211723327, 26.111980867385864, 25.840921235084533, 25.570202422142028, 25.72921152114868, 26.03100914955139, 26.342886281013488, 26.658088636398315, 26.974630069732665, 27.29061574935913, 27.604295921325683, 27.91399664878845, 28.046985340118407, 28.128786993026733, 28.210016918182372, 28.290657711029052, 28.317707967758178, 28.333440494537353]","[26.1, 25.41, 25.79, 26.1, 25.83, 26.42, 26.53, 25.42, 25.19, 24.45, 25.33, 26.32, 26.31, 26.51, 27.0, 27.69, 27.79, 28.44, 29.12, 29.76, 29.94, 29.95, 27.77, 28.64, 28.6, 28.3, 27.99, 27.5, 26.995, 27.44, 27.19, 27.01, 26.97, 26.8, 25.37, 25.265, 25.83, 25.83, 26.26, 27.065, 27.18, 27.355, 27.615, 28.27, 28.05, 27.93, 28.22, 28.62, 28.26, 28.29]",29.41
10,"[25.309634339809417, 25.781526279449462, 26.116908740997314, 26.278667163848876, 26.197135758399963, 25.889671754837035, 25.482820224761962, 25.119002413749694, 24.904800218343734, 25.31880189180374, 25.852780294418334, 26.214400482177734, 26.6273681640625, 27.08661551475525, 27.57533974647522, 28.082282972335815, 28.632713985443115, 29.17017240524292, 29.688173961639404, 29.83611125946045, 29.385659408569335, 28.905464839935302, 28.651270580291747, 28.445217084884643, 28.231369924545287, 28.009058904647826, 27.777659368515014, 27.536617708206176, 27.285492849349975, 27.023982954025268, 26.751974058151244, 26.46942753791809, 26.17607946395874, 25.874455642700195, 25.614779424667358, 25.87876124382019, 26.18168909549713, 26.48865885734558, 26.797548246383666, 27.10661358833313, 27.413420152664184, 27.71425528526306, 27.991788339614867, 28.123919200897216, 28.254391622543334, 28.38313479423523, 28.5100905418396, 28.63525457382202, 28.758560848236083, 28.87804765701294]","[25.41, 25.79, 26.1, 25.83, 26.42, 26.53, 25.42, 25.19, 24.45, 25.33, 26.32, 26.31, 26.51, 27.0, 27.69, 27.79, 28.44, 29.12, 29.76, 29.94, 29.95, 27.77, 28.64, 28.6, 28.3, 27.99, 27.5, 26.995, 27.44, 27.19, 27.01, 26.97, 26.8, 25.37, 25.265, 25.83, 25.83, 26.26, 27.065, 27.18, 27.355, 27.615, 28.27, 28.05, 27.93, 28.22, 28.62, 28.26, 28.29, 29.41]",30.86
11,"[25.67732937335968, 26.148121070861816, 26.318719935417175, 26.28897268772125, 26.11919469833374, 25.685828280448913, 25.16546995639801, 24.92260385751724, 25.560458731651305, 26.167071175575256, 26.433664631843566, 26.615573358535766, 26.921693992614745, 27.359170627593993, 27.83470482826233, 28.373372268676757, 28.933073711395263, 29.494486999511718, 29.86689109802246, 29.336193752288818, 28.811608505249023, 28.5949499130249, 28.378122997283935, 28.15567774772644, 27.933319520950317, 27.712330770492553, 27.49197311401367, 27.271232318878173, 27.157856893539428, 27.039350700378417, 26.871708345413207, 26.53758568763733, 25.91362268924713, 25.403348457813262, 25.66157705783844, 25.99852521419525, 26.3520015001297, 26.690594148635864, 26.985982131958007, 27.232649517059325, 27.443051052093505, 27.63286609649658, 27.81370539665222, 27.992622566223144, 28.17353935241699, 28.35851593017578, 28.604204368591308, 28.86732597351074, 29.137355041503906, 29.41402359008789]","[25.79, 26.1, 25.83, 26.42, 26.53, 25.42, 25.19, 24.45, 25.33, 26.32, 26.31, 26.51, 27.0, 27.69, 27.79, 28.44, 29.12, 29.76, 29.94, 29.95, 27.77, 28.64, 28.6, 28.3, 27.99, 27.5, 26.995, 27.44, 27.19, 27.01, 26.97, 26.8, 25.37, 25.265, 25.83, 25.83, 26.26, 27.065, 27.18, 27.355, 27.615, 28.27, 28.05, 27.93, 28.22, 28.62, 28.26, 28.29, 29.41, 30.86]",31.36
12,"[25.88907594680786, 26.318209481239318, 26.293483090400695, 25.992715549468993, 25.495297503471374, 24.91483117341995, 24.628086280822753, 25.176078152656554, 25.875665855407714, 26.252833437919616, 26.524227571487426, 26.835027408599853, 27.26795310974121, 27.795979690551757, 28.314640712738036, 28.803597164154052, 29.245554637908935, 29.57389039993286, 29.092675399780273, 28.63301248550415, 28.418612670898437, 28.193816137313842, 27.960960578918456, 27.721953105926513, 27.504380416870116, 27.3605167388916, 27.236249876022338, 27.11072654724121, 26.960284900665282, 26.731670808792114, 26.29908878803253, 25.663438391685485, 25.153766167163848, 25.28974003791809, 25.582484674453735, 25.926801753044128, 26.283147287368774, 26.623205375671386, 26.93070430755615, 27.205279541015624, 27.443664264678954, 27.662846040725707, 27.878205966949462, 28.09868903160095, 28.333379459381103, 28.5879976272583, 28.877727222442626, 29.236279678344726, 29.61121196746826, 30.00231189727783]","[26.1, 25.83, 26.42, 26.53, 25.42, 25.19, 24.45, 25.33, 26.32, 26.31, 26.51, 27.0, 27.69, 27.79, 28.44, 29.12, 29.76, 29.94, 29.95, 27.77, 28.64, 28.6, 28.3, 27.99, 27.5, 26.995, 27.44, 27.19, 27.01, 26.97, 26.8, 25.37, 25.265, 25.83, 25.83, 26.26, 27.065, 27.18, 27.355, 27.615, 28.27, 28.05, 27.93, 28.22, 28.62, 28.26, 28.29, 29.41, 30.86, 31.36]",30.92
13,"[25.951872181892394, 26.491640281677245, 26.21809525489807, 25.583047103881835, 25.169895005226135, 25.14047623872757, 25.410100293159484, 25.86212201118469, 26.306261253356933, 26.730977010726928, 27.16777558326721, 27.675990295410156, 28.223568391799926, 28.74457426071167, 29.214956951141357, 29.618298721313476, 29.800269317626952, 29.358498764038085, 28.894108009338378, 28.660784912109374, 28.450553131103515, 28.232681941986083, 28.00950880050659, 27.783730220794677, 27.556261014938354, 27.370708656311034, 27.177842807769775, 26.96834726333618, 26.72697730064392, 26.418578815460204, 26.017113399505615, 25.660582494735717, 25.855701637268066, 26.10097141265869, 26.361027193069457, 26.618079376220702, 26.860425186157226, 27.087292623519897, 27.311520767211913, 27.540773105621337, 27.779669952392577, 28.03169102668762, 28.299637031555175, 28.585942459106445, 28.89285202026367, 29.225784015655517, 29.586290550231933, 29.971235942840575, 30.38083143234253, 30.78995532989502]","[25.83, 26.42, 26.53, 25.42, 25.19, 24.45, 25.33, 26.32, 26.31, 26.51, 27.0, 27.69, 27.79, 28.44, 29.12, 29.76, 29.94, 29.95, 27.77, 28.64, 28.6, 28.3, 27.99, 27.5, 26.995, 27.44, 27.19, 27.01, 26.97, 26.8, 25.37, 25.265, 25.83, 25.83, 26.26, 27.065, 27.18, 27.355, 27.615, 28.27, 28.05, 27.93, 28.22, 28.62, 28.26, 28.29, 29.41, 30.86, 31.36, 30.92]",30.29
14,"[26.738336038589477, 26.109626960754394, 25.473254990577697, 25.141041588783263, 25.12343509197235, 25.323198628425597, 25.66326422691345, 26.092361760139465, 26.573175144195556, 27.076558303833007, 27.579663467407226, 28.065202903747558, 28.563616943359374, 28.996885967254638, 29.35404224395752, 29.589416694641113, 29.214135360717773, 28.785911273956298, 28.63411111831665, 28.455796432495116, 28.253383111953735, 28.029107761383056, 27.787838172912597, 27.598011207580566, 27.395778846740722, 27.177331399917602, 26.943691444396972, 26.69590277671814, 26.435101222991943, 26.162318062782287, 25.879890036582946, 25.991874527931213, 26.208736610412597, 26.435709071159362, 26.67248315811157, 26.918310356140136, 27.172848176956176, 27.435797882080077, 27.706582736968993, 27.984583568572997, 28.26914758682251, 28.559601497650146, 28.855265808105468, 29.155460548400878, 29.459514808654784, 29.76680154800415, 30.076718521118163, 30.388700675964355, 30.62738389968872, 30.684371662139892]","[26.42, 26.53, 25.42, 25.19, 24.45, 25.33, 26.32, 26.31, 26.51, 27.0, 27.69, 27.79, 28.44, 29.12, 29.76, 29.94, 29.95, 27.77, 28.64, 28.6, 28.3, 27.99, 27.5, 26.995, 27.44, 27.19, 27.01, 26.97, 26.8, 25.37, 25.265, 25.83, 25.83, 26.26, 27.065, 27.18, 27.355, 27.615, 28.27, 28.05, 27.93, 28.22, 28.62, 28.26, 28.29, 29.41, 30.86, 31.36, 30.92, 30.29]",30.06
15,"[26.536694240570068, 25.419740390777587, 24.883198809623718, 24.97100282907486, 25.37264699935913, 25.909385633468627, 26.306047987937927, 26.653797340393066, 27.025023412704467, 27.440097761154174, 27.898626279830932, 28.418300580978393, 28.92074794769287, 29.372496318817138, 29.638604831695556, 29.177301597595214, 28.703633499145507, 28.49598569869995, 28.277433824539184, 28.05378909111023, 27.828849744796752, 27.604422998428344, 27.38328309059143, 27.237599325180053, 27.07426495552063, 26.880365324020385, 26.620947551727294, 26.186757040023803, 25.622542810440063, 25.514443230628967, 25.75776071548462, 26.041579675674438, 26.354311180114745, 26.658983421325683, 26.933104944229125, 27.184302520751952, 27.426767301559448, 27.670158338546752, 27.91989321708679, 28.178923559188842, 28.44890923500061, 28.730784606933593, 29.025310230255126, 29.332960319519042, 29.652995777130126, 29.985319328308105, 30.328071784973144, 30.494498443603515, 30.514117431640624, 30.53250856399536]","[26.53, 25.42, 25.19, 24.45, 25.33, 26.32, 26.31, 26.51, 27.0, 27.69, 27.79, 28.44, 29.12, 29.76, 29.94, 29.95, 27.77, 28.64, 28.6, 28.3, 27.99, 27.5, 26.995, 27.44, 27.19, 27.01, 26.97, 26.8, 25.37, 25.265, 25.83, 25.83, 26.26, 27.065, 27.18, 27.355, 27.615, 28.27, 28.05, 27.93, 28.22, 28.62, 28.26, 28.29, 29.41, 30.86, 31.36, 30.92, 30.29, 30.06]",30.56
